Row.names	MeanDecreaseAccuracy	MeanDecreaseGini	Rank_Gini_RF	s1	abs_coeff	Rank_absC_ENET	RankProd	RankProd_Rank
cdh4	-0.57523263526811	0.157989661691935	635	0	0	542.5	344487.5	652
cdh8	1.22249491890371	0.0797084159124634	820	0	0	542.5	444850	820
celf2	0.434727974702065	0.453707383196405	85	0	0	542.5	46112.5	178
celf4	1.54333045362368	0.152059657102715	668	0	0	542.5	362390	681
celf5	0.235721204573382	0.162432580652847	617	0	0	542.5	334722.5	635
cep112	-0.157671906418813	0.185679484836869	520	0	0	542.5	282100	546
chac1	-0.304966302317706	0.203356030037113	427	0	0	542.5	231647.5	468
chd3	-2.02302946741367	0.123117975100022	763	0	0	542.5	413927.5	769
chl1	0.279792228151771	0.198678430015787	450	0	0	542.5	244125	487
clstn2	2.38967384473707	0.178134254201986	553	0	0	542.5	300002.5	578
cnksr2	2.45670547647923	0.249683099576934	294	0	0	542.5	159495	372
cntfr	1.26569776666181	0.200046869162426	444	0	0	542.5	240870	481
cntn3	1.08435790619815	0.290290476071827	217	0.00148346555282349	0.00148346555282349	253	54901	207
cntn5	0.205712685449698	0.164029226760871	608	0	0	542.5	329840	627
cntnap2	0.703997793970257	0.230740460885828	339	0	0	542.5	183907.5	406
col14a1	2.4669738184428	0.526183144584137	68	0.116749237904229	0.116749237904229	78	5304	63
col25a1	-0.864974285921883	0.168953233121133	590	0	0	542.5	320075	610
cplx1	0.210466197227426	0.231567739014853	337	0	0	542.5	182822.5	405
cpn1	-0.844139597043768	0.397936530629797	114	0.167618865773055	0.167618865773055	57	6498	72
csgr16h14orf132	-0.168772417307846	0.348001443566665	149	0	0	542.5	80832.5	261
csgr18h9orf3	-1.11027294127248	0.194537549102701	472	0	0	542.5	256060	503
csgr18h9orf85	-0.893108929756327	0.156014366307892	648	0	0	542.5	351540	664
csmd1	0.286559973115867	0.281601501782807	232	0.0187045752579975	0.0187045752579975	213	49416	192
csmd2	0.920879430322701	0.111159261515157	785	0	0	542.5	425862.5	788
cspg5	-0.742560018306282	0.105165046513707	798	0	0	542.5	432915	799
ctnna2	1.64960454085916	0.236729237570069	327	0	0	542.5	177397.5	396
ctnnbl1	1.38331562035306	0.140597248410368	699	0	0	542.5	379207.5	710
dab1	1.44397096190293	0.207152257003851	419	0	0	542.5	227307.5	462
