Astrocytes_Radial_Glia	Ependymal_cells	Erythrocytes	Microglia	NSPCs	Oligodendrocytes	OPCs	Vascular_smooth_muscle_cells	GABAergic_neurons	Granule_Excitatory_Neurons	Neurons_misc_1	Neurons_misc_2	Neurons_misc_3	Neurons_misc_4	Purkinje_cells	PV_interneurons
FY_CTL_rep1	0.0557148156913427	0.0148588091945494	0.0078865646220047	0.014175882678598	0.0192528690807467	0.0598911829538818	0.0194473660955123	0.00928264086021451	0.0409963387041866	0.190652257840551	0.00413749327820656	0.0755382067055658	0.0307088684499173	0.412418048004772	0.00152447311828903	0.043514182721661
FY_CTL_rep2	0.0466847537138835	0.0182344422037874	0.00577281136363095	0.0110756395153055	0.0176486291607241	0.0670446600434041	0.0222943168740611	0.00864942426390151	0.0446578488396174	0.200861362356809	0.00423884841043449	0.0532413125449503	0.0283284692681414	0.427960552815169	0.00160404807062893	0.0417028805555512
FY_CTL_rep3	0.0461234258916806	0.0178239748525519	0.0159262329316802	0.0172404540410541	0.0219072942086043	0.0592398743367276	0.0195781396385601	0.00935886965964013	0.0417350762663165	0.18043311393313	0.00422676986610047	0.0780570994180574	0.028512183704004	0.413635205654584	0.00148376775016047	0.0447185178471488
FO_CTL_rep1	0.0506049116242305	0.0191598585946545	0.0085406228743467	0.0182311351155079	0.0270036364975968	0.0463572967662726	0.017301617768457	0.0114703341937197	0.040898948445591	0.147480233326327	0.00428351902889597	0.113218944786513	0.0279270789735515	0.416984165761086	0.00157506709530229	0.0489626291479486
FO_CTL_rep2	0.0298319401287013	0.0122183356014603	0.0101461791439406	0.0178072614162663	0.0206721080310892	0.0699566183227382	0.0228524490676762	0.00638824174164597	0.042452839158988	0.221152065689695	0.00403510959850884	0.0618373038301124	0.0283887064621716	0.410280912000189	0.00151409543003825	0.0404658343767787
FO_CTL_rep3	0.0395907957845041	0.0125901979815914	0.00968494730529932	0.0181985198430052	0.0223671792733089	0.0587334824391106	0.0218189141295398	0.00818018903579223	0.0440342568482595	0.210788471452452	0.00443392983599306	0.0552905780447851	0.0293177755934807	0.421998101358668	0.00181522718576955	0.0411574338884411
FO_MIF_rep1	0.038970142837159	0.0105254031619123	0.00621038773268746	0.0112884566265691	0.0187273174760752	0.0645098132059066	0.0217385745765784	0.00703564538242166	0.0416990359135708	0.20107883039934	0.0040045073810928	0.0688986643919687	0.0315082389396013	0.428137675977188	0.00164727909226416	0.0440200269056648
FO_MIF_rep2	0.0576850592999556	0.0189239312268453	0.0128849509600787	0.0187177926768851	0.0193787477355887	0.0656989834418646	0.0175681716510378	0.0100957906779064	0.0427882918168513	0.169190971454423	0.00415199325589102	0.0817598899830847	0.0279104050583919	0.40475101536256	0.00119822409032704	0.0472957813083088
MY_CTL_rep1	0.0553511384059495	0.0206754540209722	0.0150487309774903	0.0142442228996866	0.0227416226106016	0.0607333134537911	0.0192063096765509	0.0103151823959328	0.0427793763116523	0.170535951463721	0.00420450226082375	0.0733824026634995	0.0282672024614419	0.418106315702857	0.00120357759594796	0.0432046970990823
MY_CTL_rep2	0.0525042451852512	0.0208596802341157	0.00614829402402681	0.0124885917794668	0.0200579763494639	0.0504673257638581	0.0191158396919129	0.0108939334606507	0.0428254584109249	0.167300423257512	0.00440343277501173	0.0877606139076993	0.0284348361496038	0.426942689481546	0.00192864408265945	0.0478680154462975
MY_CTL_rep3	0.0390813628926228	0.0106529222855989	0.0119150376483406	0.0172946356330815	0.0157421694930337	0.0703547167923904	0.0218697391434876	0.00638602790735689	0.0411270027720021	0.225466729734002	0.00408565234223391	0.0565583376338639	0.0306783099602737	0.405898707070764	0.00154995379309635	0.041338694897851
