SampleID,Condition,Replicate,bamReads,bamControl,Peaks,PeakCaller
OF1,OF,1,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c1_Brain_ATACseq_OF1.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
OF2,OF,2,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c1_Brain_ATACseq_OF2.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
OF3,OF,3,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c1_Brain_ATACseq_OF3.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
OM1,OM,1,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c1_Brain_ATACseq_OM1.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
OM2,OM,2,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c1_Brain_ATACseq_OM2.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
OM3,OM,3,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c1_Brain_ATACseq_OM3.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
YF1,YF,1,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c1_Brain_ATACseq_YF1.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
YF2,YF,2,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c1_Brain_ATACseq_YF2.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
YF3,YF,3,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c1_Brain_ATACseq_YF3.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
YM1,YM,1,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c1_Brain_ATACseq_YM1.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
